"filename", "language", "CSS", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\tirrihannah-company-limited\index.php", "PHP", 0, 222, 0, 0, 13, 235
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\capital-markets\index.php", "PHP", 0, 474, 0, 6, 37, 517
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\capital-markets\ipo.php", "PHP", 0, 958, 0, 2, 34, 994
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\compliance-advisory\index.php", "PHP", 0, 428, 0, 6, 34, 468
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\corporate-finance\index.php", "PHP", 0, 428, 0, 6, 34, 468
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\corporate-restructuring\index.php", "PHP", 0, 428, 0, 6, 34, 468
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\index copy.php", "PHP", 0, 119, 0, 0, 16, 135
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\index.php", "PHP", 0, 468, 0, 6, 22, 496
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\service copy.php", "PHP", 0, 942, 0, 2, 38, 982
"Total", "-", 15030, 25156, 8, 269, 4738, 45201
