"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aaron-industries-limited\index.php", "PHP", 0, 0, 115, 0, 0, 14, 129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aki-india-limited.php", "PHP", 0, 0, -77, 0, 0, -12, -89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\aki-india-limited\index.php", "PHP", 0, 0, 75, 0, 0, 12, 87
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\akme-fintrade-India-limited.php", "PHP", 0, 0, -77, 0, 0, -12, -89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\akme-fintrade-india-limited\index.php", "PHP", 0, 0, 77, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\amic-forging-limited.php", "PHP", 0, 0, -116, 0, 0, -14, -130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\amic-forging-limited\index.php", "PHP", 0, 0, 114, 0, 0, 13, 127
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\anuroop-packaging-limited.php", "PHP", 0, 0, -134, 0, 0, -12, -146
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\anuroop-packaging-limited\index.php", "PHP", 0, 0, 134, 0, 0, 12, 146
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\arc-insulation-&-insulators-limited\index.php", "PHP", 0, 0, 77, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\associated-coaters-limited.php", "PHP", 0, 0, -96, 0, 0, -12, -108
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\associated-coaters-limited\index.php", "PHP", 0, 0, 94, 0, 0, 12, 106
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b&B-triplewall-containers-Limited.php", "PHP", 0, 0, -136, 0, 0, -13, -149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b&b-triplewall-containers-limited\index.php", "PHP", 0, 0, 137, 0, 0, 13, 150
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b-right-Realestate-Limited.php", "PHP", 0, 0, -136, 0, 0, -12, -148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\b-right-realestate-limited\index.php", "PHP", 0, 0, 134, 0, 0, 12, 146
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bcpl-railway-Infrastructure-Limited.php", "PHP", 0, 0, -117, 0, 0, -12, -129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bcpl-railway-infrastructure-limited\index.php", "PHP", 0, 0, 117, 0, 0, 12, 129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bilwin-Industries-Limited.php", "PHP", 0, 0, -135, 0, 0, -14, -149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\bilwin-industries-limited\index.php", "PHP", 0, 0, 135, 0, 0, 14, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\clara-industries-Limited.php", "PHP", 0, 0, -136, 0, 0, -13, -149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\clara-industries-limited\index.php", "PHP", 0, 0, 136, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\comrade-appliances-limited.php", "PHP", 0, 0, -136, 0, 0, -13, -149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\comrade-appliances-limited\index.php", "PHP", 0, 0, 136, 0, 0, 13, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\debock-sales-&-marketing-Limited.php", "PHP", 0, 0, -136, 0, 0, -12, -148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\debock-sales-&-marketing-limited\index.php", "PHP", 0, 0, 136, 0, 0, 12, 148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\deep-Polymers-Limited.php", "PHP", 0, 0, -135, 0, 0, -13, -148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\deep-polymers-limited\index.php", "PHP", 0, 0, 135, 0, 0, 13, 148
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\dhruv-wellness-Limited.php", "PHP", 0, 0, -119, 0, 0, -14, -133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\dhruv-wellness-limited\index.php", "PHP", 0, 0, 119, 0, 0, 14, 133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\diggi-multitrade-Limited.php", "PHP", 0, 0, -100, 0, 0, -13, -113
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\diggi-multitrade-limited\index.php", "PHP", 0, 0, 100, 0, 0, 13, 113
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\flywings-simulator-training-center-limited.php", "PHP", 0, 0, -80, 0, 0, -11, -91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\flywings-simulator-training-center-limited\index.php", "PHP", 0, 0, 80, 0, 0, 11, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\g-m-polyplast-Limited.php", "PHP", 0, 0, -119, 0, 0, -11, -130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\g-m-polyplast-limited\index.php", "PHP", 0, 0, 119, 0, 0, 11, 130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\gnh-india-pharmaceuticals-limited.php", "PHP", 0, 0, -80, 0, 0, -13, -93
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\gnh-india-pharmaceuticals-limited\index.php", "PHP", 0, 0, 80, 0, 0, 13, 93
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\goel-food-products-Limited.php", "PHP", 0, 0, -140, 0, 0, -14, -154
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\goel-india-pharmaceuticals-limited\index.php", "PHP", 0, 0, 140, 0, 0, 14, 154
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\index.php", "PHP", 0, 0, 107, 0, 0, 5, 112
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\innokaiz-India-limited.php", "PHP", 0, 0, -139, 0, 0, -14, -153
