"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\ipo\mac-hotels-Limited.php", "PHP", 143, 0, 0, 0, 12, 155
"c:\xampp\htdocs\Gretex Corporate main\ipo\markolines-traffic-Controls-Limited.php", "PHP", 144, 0, 0, 0, 11, 155
"c:\xampp\htdocs\Gretex Corporate main\ipo\misquita-engineering-limited.php", "PHP", 138, 0, 0, 0, 12, 150
"c:\xampp\htdocs\Gretex Corporate main\ipo\moving-media-entertainment-limited.php", "PHP", 80, 0, 0, 0, 12, 92
"c:\xampp\htdocs\Gretex Corporate main\ipo\niks-technology-Limited.php", "PHP", 118, 0, 0, 0, 11, 129
"c:\xampp\htdocs\Gretex Corporate main\ipo\oan-industries-limited.php", "PHP", 79, 0, 0, 0, 11, 90
"c:\xampp\htdocs\Gretex Corporate main\ipo\omviras-marine-services-limited.php", "PHP", 58, 0, 0, 0, 13, 71
"c:\xampp\htdocs\Gretex Corporate main\ipo\owais-metal-mineral-processing-limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\ipo\paramount-dye-tec-limited.php", "PHP", 123, 0, 0, 0, 14, 137
"c:\xampp\htdocs\Gretex Corporate main\ipo\platinumone-business-Services-Limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\ipo\rapid-fleet-management-services-limited.php", "PHP", 80, 0, 0, 0, 11, 91
"c:\xampp\htdocs\Gretex Corporate main\ipo\rapid-multimodal-logistics-limited.php", "PHP", 158, 0, 0, 0, 11, 169
"c:\xampp\htdocs\Gretex Corporate main\ipo\reetech-international-cargo-courier-Limited.php", "PHP", 140, 0, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\ipo\resgen-limited.php", "PHP", 181, 0, 0, 0, 11, 192
"c:\xampp\htdocs\Gretex Corporate main\ipo\retaggio-industries-limited.php", "PHP", 76, 0, 0, 0, 12, 88
"c:\xampp\htdocs\Gretex Corporate main\ipo\retina-paints-limited.php", "PHP", 139, 0, 0, 0, 12, 151
"c:\xampp\htdocs\Gretex Corporate main\ipo\riddhi-corporate-services-limited.php", "PHP", 120, 0, 0, 0, 13, 133
"c:\xampp\htdocs\Gretex Corporate main\ipo\sagar-diamonds-limited.php", "PHP", 119, 0, 0, 0, 12, 131
"c:\xampp\htdocs\Gretex Corporate main\ipo\sailani-tours-N-Travels-Limited.php", "PHP", 143, 0, 0, 0, 11, 154
