"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sailani-tours-N-Travels-Limited.php", "PHP", 143, 0, 0, 0, 11, 154
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sellowrap-industries-limited.php", "PHP", 60, 0, 0, 0, 13, 73
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shelter-pharma-Limited.php", "PHP", 159, 0, 0, 0, 12, 171
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\shreyas-fabtech-limited.php", "PHP", 82, 0, 0, 0, 16, 98
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\siddharth-education-Services-limited.php", "PHP", 160, 0, 0, 0, 13, 173
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\silky-overseas-limited.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\ssg-furnishing-solution-limited.php", "PHP", 60, 0, 0, 0, 14, 74
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\steelman-Telecom-Limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\subam-papers-limited.php", "PHP", 119, 0, 0, 0, 13, 132
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sudharshan-pharma-industries-limited.php", "PHP", 160, 0, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\suumaya-lifestyle-Limited.php", "PHP", 120, 0, 0, 0, 12, 132
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\tenty-limited.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\trackpoint-gps-limited.php", "PHP", 79, 0, 0, 0, 12, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\transteel-Seating-Technologies-Limited.php", "PHP", 140, 0, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\veeram-ornaments-limited.php", "PHP", 120, 0, 0, 0, 14, 134
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\yug-decor-limited.php", "PHP", 139, 0, 0, 0, 14, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\zenith-drugs-limited.php", "PHP", 140, 0, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\Kwality Credit and Leasing Limited\index.php", "PHP", 220, 0, 0, 0, 14, 234
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\deepti-alloy-steel-limited\index.php", "PHP", 220, 0, 0, 0, 14, 234
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\econo-trade-india-limited\index copy.php", "PHP", 221, 0, 0, 0, 14, 235
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\open-offer\index.php", "PHP", 375, 0, 0, 2, 51, 428
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\capital-markets\index.php", "PHP", 474, 0, 0, 6, 37, 517
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\capital-markets\ipo.php", "PHP", 958, 0, 0, 2, 34, 994
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\compliance-advisory\index.php", "PHP", 428, 0, 0, 6, 34, 468
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\corporate-finance\index.php", "PHP", 428, 0, 0, 6, 34, 468
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\corporate-restructuring\index.php", "PHP", 428, 0, 0, 6, 34, 468
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\index copy.php", "PHP", 119, 0, 0, 0, 16, 135
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\index.php", "PHP", 468, 0, 0, 6, 22, 496
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\service copy.php", "PHP", 942, 0, 0, 2, 38, 982
"Total", "-", 23460, 15011, 8, 265, 4616, 43360
